time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-14 00:00:00+00:00,5,5,12,4
2022-08-15 00:00:00+00:00,5,4,18,11
2022-08-16 00:00:00+00:00,9,9,1,1
2022-08-17 00:00:00+00:00,35,34,7,7
2022-08-18 00:00:00+00:00,17,17,11,8
2022-08-19 00:00:00+00:00,18,15,5,3
2022-08-20 00:00:00+00:00,21,21,4,4
2022-08-21 00:00:00+00:00,14,13,12,7
2022-08-22 00:00:00+00:00,55,55,14,9
2022-08-23 00:00:00+00:00,14,13,9,7
2022-08-24 00:00:00+00:00,11,9,8,7
2022-08-25 00:00:00+00:00,22,21,15,7
2022-08-26 00:00:00+00:00,28,25,22,13
2022-08-27 00:00:00+00:00,12,9,21,11
2022-08-28 00:00:00+00:00,7,7,34,9
